Gene ID	Kinase ID
YOR353C	YNL161W
YDR168W	YLR113W
YPL203W	YJL164C
YKL166C	YJL164C
YGR218W	YGR262C
YDR098C	YGR262C
YHR216W	YGR262C
YML056C	YGR262C
YER099C	YMR139W
YHL011C	YMR139W
YOL061W	YMR139W
YOR018W	YGL158W
YNL243W	YNL020C
YDR510W	YLL019C
YOL036W	YNL161W
YLR110C	YHR030C
YKL164C	YHR030C
YLR194C	YHR030C
YGL116W	YGR188C
YNL025C	YPL031C
YGR217W	YJL095W
YBL061C	YHR030C
YDR206W	YHR030C
YPR201W	YLR113W
YLR342W	YBL105C
YKL190W	YKL101W
YML127W	YLR113W
YLR403W	YJR066W
YDR162C	YJL095W
YOL078W	YKL203C
YER177W	YNR047W
YER177W	YBR059C
YER177W	YKL171W
YDR099W	YAL017W
YDR099W	YIL095W
YDR099W	YNR047W
YCL014W	YPL153C
YJR092W	YPL153C
YKL088W	YIL035C
YKL088W	YOR061W
YCR002C	YCL024W
YCR002C	YPL153C
YJR076C	YPL153C
YHR107C	YPL153C
YLR314C	YPL153C
YER164W	YIL035C
YER164W	YOR061W
YIL035C	YER129W
YOR061W	YOR119C
YDL155W	YGR092W
YNR010W	YPL042C
YPL266W	YNL207W
YBR247C	YNL207W
YMR219W	YPL153C
YCL011C	YKL139W
YNL004W	YKL139W
YLR347C	YMR001C
YHR186C	YJR066W
YDR499W	YBR136W
YNL006W	YJR066W
YKL143W	YNL207W
YOR174W	YPL042C
YDR432W	YKL139W
YOL069W	YDL028C
YML069W	YIL035C
YML069W	YOR061W
YGL120C	YOR119C
YPR143W	YIL035C
YCL031C	YIL035C
YER129W	YIL035C
YLR403W	YIL035C
YFL008W	YMR001C
YJL074C	YMR001C
YGL115W	YIL035C
YMR117C	YDL028C
YGL207W	YIL035C
YGL207W	YOR061W
YER022W	YPL042C
YGR104C	YPL042C
YDR308C	YPL042C
YNL189W	YMR001C
YDL229W	YDR477W
YDL229W	YER129W
YLR005W	YDL108W
YPR056W	YDL108W
YDL060W	YNL207W
YLL039C	YDR477W
YGR090W	YIL035C
YGR090W	YOR061W
YOR054C	YIL035C
YOR054C	YOR061W
YKR096W	YPL204W
YGR270W	YPL153C
YOR208W	YJL095W
YPL115C	YNL298W
YKL048C	YKL101W
YBR260C	YOR231W
YER133W	YDR477W
YGR032W	YPR054W
YGL116W	YBR160W
YFR027W	YBR160W
YLR371W	YPL031C
YER008C	YBR160W
YHL022C	YBR160W
YML042W	YDR477W
YKL182W	YDR477W
YBR050C	YDR477W
YFL026W	YBR160W
YDR103W	YBR160W
YLR332W	YBL105C
YDR028C	YHR135C
YOR008C	YJL095W
YDR099W	YKL168C
YHR185C	YPL204W
YAL040C	YBL016W
YBR112C	YLR113W
YHR008C	YHR205W
YCR084C	YLR113W
YBR160W	YLR096W
YKL203C	YKL126W
YKL126W	YKL203C
YPL115C	YKL048C
YIL066C	YDL101C
YJL092W	YDL101C
YGL144C	YDL079C
YGL144C	YOL128C
YNL025C	YJL095W
YJL013C	YBR160W
YKR077W	YBR160W
YOR014W	YNL298W
YKL190W	YJL187C
YLR332W	YHR030C
YMR295C	YJL095W
YNL025C	YDL108W
YPL255W	YMR001C
YIR004W	YIL147C
YJR074W	YIL147C
YER089C	YHR079C
YGL162W	YHL007C
YCR081W	YPL042C
YNL229C	YJR066W
YLR342W	YHR030C
YJL129C	YMR216C
YKR050W	YMR216C
YGL086W	YGR188C
