PPI	ORF1	ORF2	 Gene1	 Gene2	Log2(R) P1	Log2(R) P2	I-score
YML013W_YML013W	YML013W	YML013W	UBX2	UBX2	0.366020267	0.366020267	-0.490001873
YML014W_YNL255C	YML014W	YNL255C	TRM9	GIS2	0.384581831	0.743426143	NA
YML016C_YKL088W	YML016C	YKL088W	PPZ1	CAB3	0.802798042	NA	0.010900784
YML016C_YKR072C	YML016C	YKR072C	PPZ1	SIS2	0.802798042	0.481499071	0.28980548
YML016C_YOR054C	YML016C	YOR054C	PPZ1	VHS3	0.802798042	NA	0.290844199
YML017W_YOR204W	YML017W	YOR204W	PSP2	DED1	0.61417614	NA	0.976544928
YML031W_YDL088C	YML031W	YDL088C	NDC1	ASM4	0.362043718	0.104077695	0.035492747
YML031W_YFR002W	YML031W	YFR002W	NDC1	NIC96	0.362043718	NA	0.450435517
YML031W_YML103C	YML031W	YML103C	NDC1	NUP188	0.362043718	0.57017564	NA
YML031W_YMR153W	YML031W	YMR153W	NDC1	NUP53	0.362043718	0.476348423	1.257881579
YML035C_YML035C	YML035C	YML035C	AMD1	AMD1	0.638571409	0.638571409	0.570559403
YML051W_YML051W	YML051W	YML051W	GAL80	GAL80	0.278664718	0.278664718	NA
YML051W_YOR197W	YML051W	YOR197W	GAL80	MCA1	0.278664718	0.770252094	NA
YML056C_YLR432W	YML056C	YLR432W	IMD4	IMD3	0.231210912	0.175855867	-0.350392088
YML056C_YML056C	YML056C	YML056C	IMD4	IMD4	0.231210912	0.231210912	0.119057307
YML058W-A_YMR105C	YML058W-A	YMR105C	HUG1	PGM2	2.611237053	1.340283998	-0.337700688
YML067C_YAL042W	YML067C	YAL042W	ERV41	ERV46	0.381749225	NA	0.476196171
YML067C_YDR238C	YML067C	YDR238C	ERV41	SEC26	0.381749225	0.548325306	0.094665266
YML067C_YML067C	YML067C	YML067C	ERV41	ERV41	0.381749225	0.381749225	-0.82582163
YML067C_YNL287W	YML067C	YNL287W	ERV41	SEC21	0.381749225	0.086281943	NA
YML072C_YLR413W	YML072C	YLR413W	TCB3	YLR413W	0.210352647	-0.00678643	1.844470007
YML072C_YPL221W	YML072C	YPL221W	TCB3	FLC1	0.210352647	0.074414597	-1.045939673
YML081C-A_YDR377W	YML081C-A	YDR377W	ATP18	ATP17	0.260322487	0.500540794	-1.514834063
YML092C_YGR135W	YML092C	YGR135W	PRE8	PRE9	0.937335472	0.708508161	-0.074979766
YML092C_YOR362C	YML092C	YOR362C	PRE8	PRE10	0.937335472	1.228401095	0.493397275
YML094W_YLR200W	YML094W	YLR200W	GIM5	YKE2	0.696993562	0.5347631	1.68530471
YML112W_YJL006C	YML112W	YJL006C	CTK3	CTK2	0.430313932	NA	NA
YMR010W_YBL017C	YMR010W	YBL017C	YMR010W	PEP1	0.322385849	0.235719403	-0.065405335
YMR010W_YOR069W	YMR010W	YOR069W	YMR010W	VPS5	0.322385849	0.556890436	-0.113922248
YMR026C_YOL044W	YMR026C	YOL044W	PEX12	PEX15	0.39449181	0.381079924	NA
YMR026C_YOL147C	YMR026C	YOL147C	PEX12	PEX11	0.39449181	0.340416759	-0.755496736
YMR032W_YOR181W	YMR032W	YOR181W	HOF1	LAS17	0.097743115	0.135178981	NA
YMR033W_YGR275W	YMR033W	YGR275W	ARP9	RTT102	NA	0.791089651	0.521715898
YMR033W_YMR072W	YMR033W	YMR072W	ARP9	ABF2	NA	1.00083701	NA
YMR033W_YPL129W	YMR033W	YPL129W	ARP9	TAF14	NA	0.386090115	NA
YMR054W_YPR036W	YMR054W	YPR036W	STV1	VMA13	0.196292988	0.353816108	0.138382182
YMR070W_YMR070W	YMR070W	YMR070W	MOT3	MOT3	0.070587333	0.070587333	-1.75517492
