TAG	NAME	GWEIGHT	1181-0519.x	1181-0519.y	FK506.x	FK506.y	CuSO4.x	CuSO4.y	doxorubicin.x	doxorubicin.y	atorvastatin.x	atorvastatin.y	AA-mixture.x	AA-mixture.y	methionine.x	methionine.y	menadione.x	menadione.y	H2O2.x	H2O2.y	ethanol.x	ethanol.y	heat-shock.x	heat-shock.y	N-starvation.x	sorbitol.x	NaCl.x	NaCl.y	sorbitol.y	N-starvation.y
TM_1673	TM_1673	1.000000	0.164946	0.183958	0.239240	0.143311	-0.003175	0.002990	0.098533	0.136819	-0.003816	0.069159	-0.134964	-0.148444	-0.212959	-0.289957	0.024978	-0.132482	0.049914	-0.032943	-0.076835	-0.083962	0.289162	0.303611	-0.019705	-0.009359	-0.137639	-0.058793	0.028659	0.024601
TM_1566	TM_1566	1.000000	0.147144	0.092226	0.325810	0.307750	0.113490	0.101255	-0.004903	0.088174	-0.037913	-0.026911	-0.334602	-0.341489	-0.346935	-0.255886	-0.040540	-0.169888	0.003490	-0.091385	0.001121	0.003898	0.323750	0.231997	-0.108889	-0.022687	-0.006107	0.107045	-0.000099	-0.211066
TM_1644	TM_1644	1.000000	0.082188	0.111521	0.272141	0.186821	-0.060151	0.024426	0.118330	0.128369	-0.077616	-0.177812	-0.083661	-0.187634	-0.195892	-0.123753	-0.045416	-0.140556	0.061220	0.052418	0.042574	0.071119	0.271242	0.344824	-0.030284	-0.010041	-0.066347	-0.038397	-0.015379	-0.104559
TM_2453	TM_2453	1.000000	0.142845	0.136320	0.082923	0.041205	-0.083806	0.030882	0.090896	0.151184	-0.126239	-0.131059	-0.128271	-0.303657	-0.251662	-0.320291	-0.100039	-0.191957	0.109382	0.015123	0.048213	0.111452	0.304574	0.320352	-0.175324	-0.098543	-0.072517	-0.010278	-0.007916	-0.272499
TM_0726	TM_0726	1.000000	0.052366	0.121082	0.151465	0.177275	0.046641	0.095949	-0.013014	-0.003948	-0.004311	-0.006033	-0.187956	-0.297540	-0.429249	-0.377560	-0.069815	-0.123183	0.088482	-0.032527	0.051422	0.070251	0.272319	0.292614	-0.090543	0.062941	0.002800	-0.036085	-0.011749	-0.095692
TM_2662	TM_2662	1.000000	0.028316	0.028675	0.071823	0.083695	-0.116249	-0.068602	0.079959	0.089474	-0.074955	-0.018441	-0.158175	-0.270129	-0.346393	-0.400827	0.008131	-0.193409	0.191584	0.029868	0.048635	0.109494	0.369948	0.391901	-0.059338	0.020784	-0.007600	-0.154895	-0.015726	-0.118816
TM_1990	TM_1990	1.000000	0.044337	0.066838	0.178825	0.126058	-0.031129	-0.042185	0.069702	0.034903	-0.073458	-0.125626	-0.214043	-0.372286	-0.382393	-0.327934	-0.022882	-0.019238	0.143814	0.094615	0.036280	0.041121	0.342799	0.292685	-0.120513	0.072194	-0.033647	-0.024121	0.061631	-0.139508
TM_4056	TM_4056	1.000000	0.164919	0.192701	0.231752	0.235055	-0.215535	-0.074310	0.035274	0.101557	-0.009232	-0.056252	-0.371506	-0.519549	-0.392491	-0.398602	0.013881	-0.170559	0.200307	0.169560	0.069869	0.137625	0.468208	0.439524	-0.072257	-0.030782	-0.035099	-0.179634	0.139352	-0.082751
TM_3189	TM_3189	1.000000	0.037967	0.098971	0.236377	0.173631	-0.069254	0.117487	0.087878	0.071007	-0.067937	-0.051311	-0.064393	-0.228147	-0.240852	-0.314789	-0.001572	-0.065308	0.117779	0.068307	-0.003468	-0.000174	0.482279	0.453394	-0.039529	0.075264	-0.016069	-0.044971	0.072605	-0.138409
TM_2835	TM_2835	1.000000	0.038065	0.039055	0.225225	0.129745	0.000181	0.049393	0.122531	0.114406	-0.062863	-0.109786	-0.258624	-0.322317	-0.254748	-0.249036	-0.044673	-0.063065	0.175757	0.148101	-0.044450	-0.074760	0.209763	0.154988	-0.069189	0.040165	-0.000431	-0.006584	0.102661	-0.066372
TM_3198	TM_3198	1.000000	0.051596	0.019567	0.164413	0.152602	-0.045524	0.075924	0.170308	0.146282	0.001231	-0.058028	-0.262566	-0.282565	-0.236233	-0.283726	0.003419	-0.051658	0.112478	0.051543	-0.103762	-0.079349	0.261404	0.244022	-0.059451	0.006557	-0.031203	-0.031116	0.060050	-0.029862
TM_2920	TM_2920	1.000000	0.032530	0.122230	0.220758	0.132682	0.013499	-0.066906	-0.083515	-0.008457	-0.180493	-0.107031	-0.255404	-0.292288	-0.283610	-0.219503	0.002810	-0.057774	-0.025136	0.002815	0.070530	0.019590	0.336356	0.308543	-0.062892	0.052925	0.000774	0.042588	0.029474	-0.183027
TM_2864	TM_2864	1.000000	0.052655	0.088209	0.151467	0.139137	-0.053472	-0.023030	0.139217	0.124537	-0.057310	-0.050382	-0.097707	-0.149178	-0.085173	-0.126037	0.012144	-0.198439	-0.008189	-0.090158	0.012431	0.067609	0.325819	0.169607	-0.037261	-0.033834	0.039798	0.077177	0.041137	-0.147434
TM_2232	TM_2232	1.000000	0.126193	0.028363	0.291957	0.163898	-0.047020	-0.054575	0.069698	-0.039798	-0.155491	-0.054534	-0.184600	-0.136797	-0.309429	-0.315426	0.031281	-0.171604	0.249337	0.205006	0.133494	0.221344	0.219390	0.344360	0.007132	-0.179806	-0.033482	-0.151031	-0.018955	0.077338
TM_3989	TM_3989	1.000000	0.036412	0.070664	0.136126	0.128867	-0.126186	-0.070493	0.127116	0.111250	-0.011907	-0.007895	-0.205490	-0.032371	-0.211153	-0.259275	-0.133432	-0.047126	0.237569	0.108585	0.100816	0.129276	0.333393	0.372481	-0.038835	-0.003917	-0.098321	-0.314917	-0.064167	0.007913
TM_3000	TM_3000	1.000000	0.029252	0.050260	0.089462	0.090463	-0.168435	-0.043472	0.100009	0.104451	-0.119256	-0.138533	-0.252722	-0.302160	-0.158035	-0.233657	-0.055859	-0.177865	-0.005195	-0.018597	0.138374	0.212842	0.425850	0.364850	0.142409	-0.008676	0.010211	-0.121881	-0.041905	0.100617
TM_2604	TM_2604	1.000000	0.125603	0.156405	0.182044	0.058385	-0.083729	-0.026673	0.316217	0.375125	0.055029	0.003953	-0.160246	-0.082081	-0.256728	-0.185845	-0.011339	-0.168483	0.008956	0.052983	-0.006510	0.055644	0.297136	0.275447	-0.013989	-0.068508	-0.104831	-0.099312	0.002011	-0.066626
