YORF	NAME	GWEIGHT	0 hr	9.5 hr	11.5 hr	13.5 hr	15.5 hr	18.5 hr	20.5 hr
YLR108C		1	-0.09	-0.06	-0.97	-0.81	-0.94	0.41	-0.51
YDR271C		1	-0.05	-0.05	-0.44	-0.38	-0.41	0.19	-0.09
YLR176C		1	-0.43	-0.06	-0.94	-1.06	-0.92	0.45	-0.17
YDR151C		1	-0.36	-0.43	-0.74	-0.86	-0.47	0.29	-0.2
YGL206C		1	-0.06	-0.17	-0.27	-0.3	-0.2	0.16	-0.04
YLR117C		1	-0.12	-0.17	-0.3	-0.56	-0.27	0.38	-0.14
YJL175W		1	-0.03	-0.2	-0.32	-0.34	-0.22	0.26	-0.18
YNL047C		1	0.04	-0.14	-0.4	-0.4	-0.34	0.34	-0.25
YJL181W		1	-0.14	-0.23	-0.49	-0.43	-0.36	0.19	-0.4
YGL074C		1	-0.27	-0.4	-0.6	-0.42	-0.36	0.11	-0.36
YLR141W		1	-0.27	-0.4	-0.62	-0.18	-0.43	0.01	-0.32
YKR077W		1	0.12		-0.71	-0.49	-0.67	-0.01	-0.62
YAR060C		1	0.12	-0.64	-0.4	-0.47	-0.74	-0.07	-0.49
YLR410W		1	0.15	-0.27	-0.23	-0.23	-0.4	0.14	-0.29
YPL112C		1	-0.03	-0.27	-0.18	-0.18	-0.54	0.21	-0.43
YMR094W		1	-0.3	-0.43	-0.2	-0.32	-0.81	0.48	-0.42
YJR136C		1	-0.34	-0.62		-0.18	-0.97	0.3	-0.4
YJL035C		1	-0.51	-0.71	0.24	-0.43	-0.58	0.36	-0.29
YBR227C		1	-0.71	-0.84	0.11	-0.67	-0.67	0.4	-0.23
YBL037W		1	-0.43	-0.54	0.08	-0.36	-0.54	0.21	-0.12
YBR064W		1	-0.54	-0.71	0	-0.43	-0.74	0.4	-0.29
YDR108W		1	-0.49	-0.47	0.04	-0.42	-0.58	0.3	-0.34
YNR060W		1	-0.4	-0.47	0.04	-0.47	-0.56	0.21	-0.23
YAR047C		1	-0.4	-0.3	0	-0.27	-0.45	0.11	-0.23
YIR025W		1	-0.62	-0.49	-0.12	-0.56	-0.62	0.24	-0.4
YDR320C		1	-0.51	-0.47	-0.12	-0.47	-0.69	0.5	-0.38
YKL198C		1	-0.62	-0.47	-0.12	-0.54	-0.64	0.45	-0.36
YGR287C		1	-0.34	-0.29	0.03	-0.36	-0.3	0.26	-0.18
YMR228W		1	-0.47	-0.38	-0.01	-0.47	-0.4	0.32	-0.15
YJR094C		1	-0.42	-0.56	-0.12	-0.64	-0.69	0.36	-0.38
YER078C		1	-0.27	-0.29	-0.06	-0.54	-0.47	0.24	-0.34
YDR138W		1	-0.27	-0.34	0.04	-0.4	-0.69	0.16	-0.4
YKR019C		1	-0.38	-0.34	0	-0.42	-0.64	0.25	-0.34
YGL154C		1	-0.32	-0.47	0.11	-0.51	-0.67	0.32	-0.4
YGR003W		1	-0.34	-0.56	0.12	-0.49	-0.64	0.25	-0.47
YBR060C		1	-0.45	-0.58	0.15	-0.51	-0.67	0.29	-0.45
YBL035C		1	-0.49	-0.49	0.21	-0.51	-0.67	0.21	-0.54
YBL013W		1	-0.79	-0.81	-0.04	-0.79	-0.76	0.4	-0.86
YBR098W		1	-0.18	-0.43	-0.09	-0.3	-0.36	0.2	-0.27
YCR001W		1	-0.22	-0.64	-0.15	-0.25	-0.45	-0.14	-0.3
YLR236C		1	-0.54	-0.79	-0.3	-0.42	-0.62	-0.18	-0.3
YDR080W		1	-0.3	-0.47	-0.23	-0.23	-0.36	-0.04	
YER109C		1	-0.29	-0.45	-0.25		-0.49	-0.07	-0.23
YMR065W		1	-0.18	-0.45	-0.12	-0.3	-0.4	-0.06	
YLL063C		1	-0.36	-0.67	-0.18	-0.51	-0.79	-0.07	-0.22
YLR140W		1	-0.23	-0.42	-0.32	-0.25	-0.47	-0.04	-0.12
YHL037C		1	-0.2	-0.29	-0.25	-0.18	-0.42	-0.1	-0.15
YNL171C		1	-0.27	-0.27	-0.36	-0.29	-0.62	-0.1	-0.3
YNR058W		1	-0.42	-0.69	-0.56	-0.43	-0.94	0	-0.56
YLR334C		1	-0.1	-0.34	-0.22	-0.18	-0.56	-0.04	-0.3
YBR134W		1	-0.17	-0.23	-0.07	-0.17	-0.4	-0.04	-0.12
YGL149W		1	-0.18	-0.2	-0.07	-0.14	-0.27	-0.07	-0.15
YIL013C		1	-0.42	-0.38	-0.12	-0.22	-0.49	-0.1	-0.18
YDL114W		1	-0.62	-0.56	-0.15	-0.23	-0.67	-0.03	-0.36
YKR006C		1	-0.23	-0.18	-0.07	-0.15	-0.25	0	-0.14
YCR025C		1	-0.34	-0.3	-0.32	-0.29	-0.6	0.15	-0.18
YPL130W		1	-0.49	-0.81	-0.58	-0.62	-1.03	0.16	-0.34
YIL072W		1	-0.27	-0.3	-0.22	-0.3	-0.4	0.01	-0.06
YPL062W		1	-0.42	-0.42	-0.22	-0.42	-0.56	0.16	-0.06
YIR013C		1	-0.43	-0.62	-0.42	-0.36	-0.62	0.2	-0.4
YNL017C		1	-0.47	-0.76	-0.42	-0.34	-0.56	0.16	-0.36
YKR005C		1	-0.29	-0.62	-0.42	-0.27	-0.49	0.19	-0.29
YPL056C		1	-0.54	-0.51	-0.34	-0.47	-0.51	0.16	-0.51
YPR015C		1	-0.34	-0.42	-0.27	-0.42	-0.51	0.2	-0.32
YCR100C		1	-0.62	-0.47	-0.29	-0.69	-0.84	0.36	-0.56
YOL009C		1	-0.49	-0.3	-0.32	-0.34	-0.43	0.25	-0.32
YLR119W		1	-0.3	-0.2	-0.2	-0.22	-0.27	0.14	-0.29
YMR294W		1	-0.34	-0.3	-0.29	-0.42	-0.4	0.24	-0.38
YDR374C		1	-0.58	-0.56	-0.43	-0.51	-0.64	0.5	-0.51
YJR089W		1	-0.1	-0.14	-0.15	-0.34	-0.62	0.14	-0.27
YNL309W		1	-0.2	-0.22	-0.23	-0.25	-0.79	0.19	-0.36
YNR010W		1	-0.22	-0.43	-0.42	-0.49	-0.62	0.11	-0.51
YJL182C		1	-0.34		-0.58	-0.62	-0.71	0.14	-0.54
YNR018W		1	-0.34	-0.22	-0.38	-0.51	-0.6	0.15	-0.43
YBR165W		1	-0.27	-0.18	-0.3	-0.42	-0.6	0.12	-0.25
YHR058C		1	-0.23	-0.27	-0.27	-0.4	-0.49	0.01	-0.23
YDL090C		1	-0.14	-0.32	-0.18	-0.32	-0.49	0.03	-0.27
YMR069W		1	-0.42	-0.54	-0.23	-0.64	-0.79	0.07	-0.56
YGR109C		1	-0.34	-0.43	-0.22	-0.47	-0.74	0.16	-0.49
YOR126C		1	-0.34	-0.36	-0.18	-0.49	-0.69	0.11	-0.36
YHR095W		1	-0.34	-0.38	-0.18	-0.51	-0.71	-0.04	-0.6
YPL278C		1	-0.04	-0.1	-0.07	-0.17	-0.27	-0.01	-0.18
YJR033C		1	-0.04	-0.07	-0.04	-0.12	-0.2	0.01	-0.1
YMR288W		1	-0.06	-0.2	-0.1	-0.42	-0.54	0.15	-0.3
YIL059C		1	-0.15	-0.32	-0.1	-0.51	-0.6	0.11	
YNL326C		1	-0.03	-0.22	-0.04	-0.32	-0.4	0.08	-0.32
YDL160C		1	-0.17	-0.23	0.07	-0.49	-0.6	0.07	-0.3
YFL050C		1	-0.23	-0.4	-0.18	-0.67	-0.76	-0.07	-0.4
YJR116W		1	-0.27	-0.4	-0.09	-0.64	-0.6	-0.04	
YER128W		1	-0.3	-0.43	-0.12	-0.49	-0.38	-0.03	-0.22
YCR050C		1	-0.38	-0.45	-0.15	-0.62	-0.56	-0.1	-0.4
YKL055C		1	-0.36	-0.27	-0.09	-0.58	-0.47	0.03	-0.27
YGL218W		1	-0.18	-0.22	-0.04	-0.36	-0.22	0.06	-0.15
YNL136W		1	-0.27	-0.43	-0.12	-0.38	-0.42	0.12	-0.18
YJL156C		1	-0.18	-0.43	-0.04	-0.36	-0.34	0.11	-0.1
YBR182C		1	-0.36	-0.49	0.03	-0.56	-0.43	0.12	-0.2
YKL102C		1	-0.22	-0.25	0.03	-0.43	-0.3	0.07	-0.04
YKL220C		1	-0.36	-0.36	-0.06	-0.51	-0.43	0.01	-0.1
YCL023C		1	-0.36	-0.36	-0.06	-0.4	-0.42	0.07	-0.03
YJL007C		1	-0.62	-0.38	-0.23	-0.58	-0.84	-0.06	-0.23
YDR260C		1	-0.27	-0.18	-0.1	-0.22	-0.47	-0.06	
YAL020C		1	-0.31	-0.15	0	-0.31	-0.46	-0.09	-0.2
YGL089C		1	-0.3	-0.07	0	-0.36	-0.49	0	-0.18
YLR184W		1	-0.49	-0.1	-0.34	-0.62	-0.94	-0.04	-0.4
YIL174W		1	-0.3	-0.27	-0.23	-0.71	-0.74	0.4	-0.27
YMR082C		1	-0.49	-0.25	-0.17	-0.43	-0.36	-0.06	-0.2
YJR018W		1	-0.42	-0.34	-0.18	-0.4	-0.3	-0.03	-0.17
YPR038W		1	-0.43	-0.38	-0.18	-0.4	-0.3	-0.07	-0.27
YLR416C		1	-0.71	-0.76	-0.56	-0.49	-0.54	0.11	-0.47
YCR049C		1	-0.51	-0.36	-0.34	-0.36	-0.29	0.04	-0.17
YPL250C		1	-0.36	-0.36	-0.47	-0.36	-0.34	-0.1	-0.23
YCR047C		1	-0.62	-0.58	-0.56	-0.64	-0.2	-0.15	-0.34
YFL032W		1	-0.4	-0.45	-0.23	-0.4	-0.12	0.03	-0.42
YKL031W		1	-0.36	-0.45	-0.2	-0.3	-0.27	0.04	-0.34
YJR138W		1	-0.56	-0.89	-0.36	-0.54	-0.36	-0.09	-0.54
YKR037C		1	-0.27	-0.51	-0.27	-0.34	-0.2	0.06	
YOR379C		1	-0.25	-0.4	-0.2	-0.4	-0.18	0.06	-0.27
YLR148W		1	-0.14	-0.25	-0.06	-0.01	-0.18	0.04	-0.15
YJL126W		1	-0.4	-0.67	-0.1	-0.18	-0.47	0.14	-0.54
YDL044C		1	-0.27	-0.42	-0.03	-0.2	-0.4	0.04	-0.34
YGL210W		1	-0.27	-0.54	-0.14	-0.27	-0.64	0.08	-0.56
YBR148W		1	-0.18	-0.34	-0.15	-0.1	-0.4	-0.03	-0.36
YLR010C		1	-0.36	-0.49	-0.15	-0.34	-0.34	-0.1	-0.56
YJL127C		1	-0.34	-0.49	-0.06	-0.29	-0.23	-0.18	-0.45
YGR099W		1	-0.23	-0.36	0.01	-0.12	-0.22	-0.06	-0.4
YJR055W		1	-0.23	-0.42	0.07	-0.3	-0.4	-0.1	-0.42
YGR203W		1	-0.22	-0.3	0.01	-0.27	-0.27	-0.07	-0.36
YJL011C		1	-0.43	-0.42	0.07	-0.45	-0.43	-0.04	
YGR064W		1	-0.18	-0.18	0.06	-0.23	-0.23	0.03	-0.49
YCR024C-A		1	-0.04	-0.25	-0.04	-0.15	-0.2	-0.1	-0.23
YJL150W		1	-0.27	-0.92	-0.36	-0.62	-0.32	-0.23	-0.84
YJL110C		1	-0.03	-0.49	-0.2	-0.27	-0.34	-0.36	-0.74
YAR008W		1	-0.25	-0.74	-0.51	-0.67	-0.64	-0.6	-1.12
YMR059W		1	-0.27	-0.36	-0.34	-0.4	-0.38	-0.23	-0.64
YJL146W		1	-0.36	-0.71	-0.43	-0.42	-0.49	-0.17	-0.84
YIL049W		1	-0.27	-0.64	-0.36	-0.42	-0.47	-0.29	-0.79
YNR022C		1	-0.42	-0.64	-0.36	-0.47	-0.51	-0.29	-0.97
YIL037C		1	-0.36	-0.56	-0.23	-0.34	-0.34	-0.27	-0.62
YLL053C		1	-0.23	-0.54	-0.2	-0.23	-0.36	-0.25	-0.56
YMR057C		1	-0.47	-0.62	-0.42	-0.58	-0.54	-0.56	-0.97
YDL069C		1	-0.49	-0.56	-0.34	-0.43	-0.36	-0.54	-1.03
YNL029C		1	-0.42	-0.56	-0.4	-0.32	-0.38	-0.58	-0.86
YJR053W		1	-0.34	-0.79	-0.49	-0.49	-0.4	-0.56	-0.92
YLR322W		1	-0.18	-0.45	-0.3	-0.36	-0.27	-0.25	-0.81
YJL120W		1	-0.3	-0.42	-0.25	-0.23	-0.27	-0.23	-0.71
YML005W		1	-0.34	-0.51	-0.51	-0.32	-0.34	-0.3	-0.84
YPR095C		1	-0.2	-0.43	-0.45	-0.27	-0.36	-0.3	-0.81
YOL033W		1	-0.27	-0.47	-0.27	-0.27	-0.14	-0.25	-0.89
YNL243W		1	-0.38	-0.36	-0.23	-0.12	-0.23	-0.34	-0.92
YOR334W		1	-0.34	-0.51	-0.4	-0.15	-0.34	-0.18	-0.58
YNR066C		1	-0.23	-0.3	-0.3	-0.1	-0.36	-0.18	-0.34
YBR124W		1	-0.18	-0.34	-0.34	-0.27	-0.6	0.01	-0.62
YPL252C		1	-0.23	-0.34	-0.4	-0.2	-0.64	-0.03	-0.76
YOR072W		1	-0.12	-0.17	-0.17	-0.14	-0.32	-0.1	-0.36
YMR075W		1	-0.18	-0.49	-0.36	-0.36	-0.64	-0.18	-0.86
YNR028W		1	-0.14	-0.32	-0.43	-0.3	-0.47	-0.14	-0.71
YLR337C		1	-0.04	-0.34	-0.49	-0.36	-0.56	-0.25	-0.86
YPL259C		1	-0.04	-0.18	-0.23	-0.23	-0.32	-0.12	-0.43
YLR442C		1	-0.18	-0.27	-0.29	-0.36	-0.49	-0.06	-0.71
YPR179C		1	-0.03	-0.12	-0.17	-0.22	-0.29	0	-0.4
YMR073C		1	-0.22	-0.36	-0.43	-0.43	-0.42	-0.06	-0.76
YJL006C		1	-0.1	-0.32	-0.4	-0.42	-0.3	-0.04	-0.69
YNL311C		1	-0.14	-0.36	-0.42	-0.56	-0.42	-0.22	-1
YDL165W		1	-0.14	-0.23	-0.2	-0.3	-0.22	-0.07	-0.56
YAL014C		1	-0.1	-0.4	-0.23	-0.45	-0.38	-0.07	-0.79
YNL147W		1	-0.23	-0.38	-0.09	-0.25	-0.36	0.06	-0.58
YDR540C		1	-0.32	-0.42	-0.14	-0.25	-0.45	0.07	-0.62
YGR107W		1	-0.32	-0.34	-0.12	-0.23	-0.25	-0.01	-0.64
YLL037W		1	-0.18	-0.12	-0.1	-0.22	-0.22	0.03	-0.58
YNR032W		1	-0.3	-0.3	-0.23	-0.45	-0.4	0.19	-0.97
YPL232W		1	-0.2	-0.27	-0.25	-0.36	-0.38	0.06	-0.71
YIR015W		1	-0.23	-0.36	-0.27	-0.3	-0.42	0.06	-0.79
YNL167C		1	-0.2	-0.42	-0.23	-0.23	-0.29	0.14	-0.71
YLR036C		1	-0.06	-0.29	-0.27	-0.3	-0.25	0.14	-0.64
YGR051C		1	-0.06	-0.23	-0.1	-0.17	-0.29	0.11	-0.56
YKR031C		1	0	-0.22	-0.12	-0.1	-0.23	0.01	-0.4
YOL102C		1	-0.17	-0.36	-0.25	-0.18	-0.22	-0.01	-0.6
YOL160W		1	-0.36	-0.51	-0.42	-0.27	-0.34	0.06	-0.74
YIR007W		1	-0.3	-0.56	-0.43	-0.27	-0.4	-0.06	-0.67
YGL072C		1	-0.27	-0.47	-0.23	-0.54	-0.3	-0.15	-0.56
YBL053W		1	-0.29	-0.42	-0.25	-0.56	-0.36	0.01	-0.62
YOL027C		1	-0.22	-0.43	-0.32	-0.47	-0.43	0.03	-0.58
YLL013C		1	-0.29	-0.18	-0.34	-0.49		0.03	-0.51
YDR114C		1	-0.34	-0.29	-0.32	-0.4	-0.4	0.04	-0.51
YCL022C		1	-0.36	-0.23	-0.18	-0.54	-0.42	-0.06	-0.64
YNL205C		1	-0.3	-0.3	-0.12	-0.64	-0.51	0.07	-0.69
YOR094W		1	-0.04	-0.36	-0.1	-0.54	-0.56	-0.27	-0.54
YAL024C		1	-0.2	-0.47	-0.14	-0.27	-0.51	-0.27	-0.69
YGL260W		1	-0.27	-0.58	-0.1	-0.42	-0.69	-0.3	-0.67
YHR130C		1	-0.18	-0.3	-0.09	-0.29	-0.4	-0.23	-0.36
YGR015C		1	-0.14	-0.3	-0.1	-0.32	-0.56	-0.23	-0.56
YNL063W		1	-0.2	-0.42	-0.27	-0.58	-0.76	-0.2	-0.92
YLR458W		1	-0.2	-0.34	-0.07	-0.4	-0.36	-0.1	-0.56
YGL079W		1	-0.15	-0.18	0	-0.36	-0.3	-0.1	-0.43
YLL057C		1	-0.22	-0.29	-0.04	-0.47	-0.47	-0.22	-0.6
YML108W		1	-0.32	-0.42	-0.12	-0.49	-0.62	-0.32	-0.71
YIL082W		1	-0.2	-0.29	-0.1	-0.34	-0.38	-0.17	
YNR064C		1	-0.27	-0.38	-0.18	-0.49	-0.6	-0.23	
YOR372C		1	-0.27	-0.27	-0.1	-0.49	-0.43	-0.14	-0.45
YPL102C		1	-0.36	-0.3	-0.32	-0.4	-0.67	-0.23	-0.49
YDL207W		1	-0.3	-0.25	-0.2	-0.34	-0.51	-0.32	-0.58
YOR318C		1	-0.27	-0.34	-0.23	-0.3	-0.42	-0.3	-0.56
YHR093W		1	-0.43	-0.56	-0.38	-0.51	-0.69	-0.4	-0.74
YDL217C		1	-0.14	-0.23	-0.1	-0.27	-0.22	-0.2	-0.3
YJR023C		1	-0.27	-0.34	-0.1	-0.3		-0.25	-0.34
YPL016W		1	-0.38	-0.34	-0.18	-0.43	-0.42	-0.43	-0.47
YPR013C		1	-0.25	-0.27	-0.27	-0.51	-0.49	-0.27	-0.62
YMR161W		1	-0.18	-0.3	-0.42	-0.56	-0.76	-0.34	-0.76
YDL162C		1	-0.2	-0.17	-0.25	-0.34	-0.49	-0.3	
YIL135C		1	-0.25	-0.42	-0.92	-0.74	-0.69	-0.14	-0.69
YPR123C		1	-0.14	-0.42	-0.58	-0.54	-0.6	-0.27	-0.51
YDR208W		1	-0.18	-0.56	-0.67	-0.84	-0.6	-0.27	-0.84
YOL035C		1	-0.27	-0.36	-0.4	-0.51	-0.34	-0.07	-0.47
YMR036C		1	-0.25	-0.4	-0.47	-0.49	-0.42	-0.03	-0.32
YMR219W		1	-0.4	-0.67	-0.47	-0.64	-0.74	-0.14	-0.67
YIR019C		1	-0.36	-0.6	-0.42	-0.4	-0.47	-0.18	-0.58
YKL061W		1	-0.49	-1.15	-1.15	-1	-1.03	-0.43	-1.32
YHR105W		1	-0.38	-0.6	-0.6	-0.42	-0.54	-0.38	-0.47
YLR269C		1	-0.3	-0.54	-0.43	-0.58	-0.56	-0.34	-0.42
YGR164W		1	-0.36	-0.56	-0.51	-0.51	-0.58	-0.27	-0.42
YLR067C		1	-0.3	-0.3	-0.25	-0.34	-0.32	-0.18	-0.27
YNR048W		1	-0.34	-0.62	-0.69	-0.79	-0.84	-0.74	-0.86
YIL080W		1	-0.18	-0.32	-0.49	-0.42	-0.47	-0.42	-0.47
YOL063C		1	-0.27	-0.23	-0.67	-0.67	-0.6	-0.58	-0.62
YIL083C		1	-0.14	-0.18	-0.36	-0.6	-0.58	-0.43	-0.45
YCR081W		1	0	-0.18	-0.22	-0.36	-0.27	-0.22	-0.23
YJR090C		1	-0.23	-0.49	-0.49	-0.6	-0.64	-0.45	-0.38
YIL031W		1	-0.3	-0.64	-0.54	-0.86	-1.06	-0.51	-0.74
YPR032W		1	-0.17	-0.29	-0.34	-0.58	-0.54	-0.34	-0.38
YLR402W		1	-0.18	-0.23	-0.3	-0.47	-0.51	-0.2	-0.27
YLL062C		1	-0.15	-0.29	-0.27	-0.51	-0.47	-0.12	-0.4
YNR057C		1	-0.27	-0.23	-0.1	-0.27	-0.4	-0.23	-0.14
YJL028W		1	-0.27	-0.23	-0.18	-0.18	-0.32	-0.18	-0.18
YIL032C		1	-0.4	-0.51	-0.25	-0.36	-0.51	-0.29	-0.27
YFR036W		1	-0.23	-0.4	-0.17	-0.4	-0.36	-0.25	-0.29
YEL045C		1	-0.47	-0.47	-0.34	-0.67	-0.6	-0.4	-0.29
YOR282W		1	-0.47	-0.45	-0.34	-0.64	-0.42	-0.42	-0.38
YMR268C		1	-0.36	-0.42	-0.42	-0.64	-0.42	-0.54	-0.36
YOL085C		1	-0.47	-0.4	-0.27	-0.4	-0.36	-0.47	-0.27
YNR062C		1	-0.47	-0.69	-0.43	-0.49	-0.54	-0.6	-0.49
YPR182W		1	-0.43	-0.62	-0.4	-0.47	-0.34	-0.3	-0.4
YPL268W		1	-0.38	-0.47	-0.34	-0.29	-0.23	-0.15	-0.22
YIL153W		1	-0.67	-0.58	-0.45	-0.43	-0.43	-0.36	-0.36
YNL148C		1	-0.64	-0.69	-0.45	-0.62	-0.6	-0.27	-0.23
YNR063W		1	-0.29	-0.34	-0.27	-0.47	-0.34	-0.14	-0.22
YDL235C		1	-0.76	-0.69	-0.74	-0.84	-0.56	-0.62	-0.97
YLL003W		1	-0.47	-0.36	-0.34	-0.45	-0.15	-0.27	-0.36
YOR211C		1	-0.47	-0.22	-0.18	-0.34	-0.25	-0.27	-0.36
YBR013C		1	-0.3	-0.25	-0.01	-0.36	-0.14	-0.18	-0.43
YPR130C		1	-0.27	-0.47	-0.22	-0.62	-0.18	-0.34	-0.69
YOL091W		1	-0.56	-0.81	-0.47	-0.74	-0.14	-0.3	-0.86
YIL126W		1	-0.4	-0.51	-0.34	-0.42	-0.01	-0.07	-0.51
YOR183W		1	-0.43	-0.4	-0.34	-0.34	-0.09	-0.1	-0.51
YLR136C		1	-0.25	-0.23	-0.6	-0.51	-0.18	-0.43	-0.84
YBL034C		1	-0.22	-0.23	-0.36	-0.3	-0.1	-0.32	-0.43
YKL045W		1	-0.17	-0.36	-0.67	-0.38	-0.18	-0.62	-0.71
YPL144W		1	-0.15	-0.42	-0.43	-0.23	-0.23	-0.47	-0.62
YNL233W		1	-0.2	-0.4	-0.42	-0.34	-0.23	-0.67	-0.86
YNR040W		1	-0.23	-0.3	-0.2	-0.18	-0.18	-0.38	-0.36
YOR298W		1	-0.71	-0.84	-0.71	-0.3	-0.62	-1.12	-1.29
YLR162W		1	-0.84	-0.74	-0.56	-0.36	-0.69	-1	-1.03
YOL067C		1	-0.49	-0.23	-0.18	-0.34	-0.34	-0.56	-0.51
YNR020C		1	-0.58	-0.27	-0.29	-0.3	-0.47	-0.45	-1.06
YLR428C		1	-0.3	-0.09	-0.23	0	-0.12	-0.29	-0.62
YBR237W		1	-0.42	0.12	-0.34	-0.34	-0.64	-0.03	-0.4
YOR162C		1	-0.38	0.12		-0.34	-0.45	0.03	-0.36
YBR233W		1	-0.62	0.25	-0.36	-0.4	-0.84	0.11	-0.89
YOR214C		1	-0.34	0.15	-0.45	-0.3	-0.3	0.04	-0.58
YMR289W		1	-0.04	-0.34	-0.09	-0.07	-0.56	-0.06	-0.69
YEL044W		1	-0.2	-0.15	-0.17	0.12	-0.47	-0.22	-0.67
YJR057W		1	-0.32	-0.54	-0.18	0.08	-0.14	-0.27	-0.89
YLR154C		1	-0.29	-0.4	0	-0.06	-0.07	-0.15	-0.56
YDL016C		1	-0.42	-0.42	-0.03	-0.23	-0.23	-0.23	-0.79
YDR520C		1	-0.34	-0.34	0.16	-0.14	-0.32	-0.23	-0.76
YMR055C		1	-0.42	-0.36	0.16	-0.09	-0.2	-0.09	-0.71
YJR067C		1	-0.29	-0.34	0.11	-0.18	-0.17	0.03	-0.49
YJL009W		1	0.01	-0.17	0.14	-0.34	-0.12	0	-0.62
YOR102W		1	-0.23	-0.17	0.06	-0.2	-0.07	0	-0.71
YJL204C		1	-0.03	-0.47	-0.01	-0.4	-0.14	0	-1.03
YDR448W		1	-0.14	-0.36	0.12	-0.27	-0.1	0.07	-0.71
YGR113W		1	-0.14	-0.34	0.04	-0.23	-0.23	0.07	-0.56
YNL059C		1	-0.15	-0.49	-0.1	-0.34	-0.3	0.16	-1.06
YOL031C		1	-0.1	-0.32	-0.01	-0.1	-0.2	0.12	-0.67
YOR159C		1	-0.23	-0.32	-0.1	-0.2	-0.07	0.16	-0.71
YNL131W		1	-0.07	-0.23	0	-0.09	-0.23	0.15	-0.81
YDL092W		1	-0.04	-0.18	0.04	-0.15	-0.18	0.25	-0.71
YOR218C		1	-0.07	-0.42	0.2	-0.01	-0.27	0.03	-0.81
YPL002C		1	0.06	-0.29	0.06	-0.09	-0.07	-0.18	-0.67
YPR053C		1	0.08	-0.23	0.26	-0.15	0.06	-0.12	-0.89
YOL090W		1	-0.17	-0.3	0.26	-0.2	-0.04	-0.07	-0.92
YDR372C		1	-0.18	-0.18	0.32	-0.1	0.01	-0.06	-0.94
YDR378C		1	-0.12	-0.07	0.07	0.07	0.01	-0.01	-0.51
YLL014W		1	-0.25	-0.18	0.06	-0.2	0.12	-0.12	-0.56
YMR298W		1	-0.2	-0.17	-0.23	-0.25	-0.04	-0.09	-1.18
YOL133W		1	-0.1	-0.36	-0.18	-0.14	0.04	-0.06	-0.67
YNL041C		1	-0.06	-0.36	-0.18	-0.15	-0.01	-0.14	-0.67
YGL220W		1	-0.23	-0.32	-0.06	-0.34	-0.03	-0.22	-0.92
YGR281W		1	-0.1	-0.14	-0.06	-0.12	0.01	-0.09	-0.3
YIL112W		1	-0.1	-0.34	-0.06	-0.32	0.06	-0.29	-0.62
YLR265C		1	-0.07	-0.18	-0.17	-0.22	0.16	-0.06	-0.47
YNR033W		1	0.06	0.14	-0.17	-0.36	-0.4	0.04	-0.45
YER151C		1	-0.1	0.11	-0.09	-0.62	-0.58	-0.07	-0.69
YNL234W		1	0.01	0	-0.06	-0.71	-0.62	0.25	-0.81
YDL240W		1	-0.06	0.01	-0.2	-0.51	-0.47	0.19	-0.84
YCR054C		1	-0.19	-0.31	-0.29	-0.94	-0.94	0.09	-1.22
YPR126C		1	-0.4	-0.14	-0.29	-0.76	-0.4	0.19	-0.86
YBR173C		1	-0.15	-0.15	-0.49	-0.67	-0.42	0.24	-1
YJR065C		1	0.01	-0.23	-0.23	-0.51	-0.27	0.08	-0.71
YBL051C		1	0.07	-0.38	-0.18	-0.6	-0.45	0.12	-0.97
YOR216C		1	-0.01	-0.23	-0.01	-0.47	-0.49	0.15	-1.22
YLR006C		1	0.07	-0.15	-0.1	-0.14	-0.23	0.12	-0.62
YDR430C		1	0.07	-0.03	-0.18	-0.25	-0.34	0.11	-0.81
YOL062C		1	-0.12	0.06	-0.14	-0.18	-0.18	0.06	-0.67
YHR129C		1	-0.29	-0.1	0.04	-0.34	-0.42	-0.04	-1.09
YPL038W		1	-0.18	0.04	-0.01	-0.36	-0.34	0.08	-0.94
YER099C		1	-0.17	0.04	0.07	-0.29	-0.34	0.01	-0.64
YLR040C		1	-0.1	0.04	0.01	-0.51	-0.36	-0.09	-0.81
YIL109C		1	-0.1	0.07	0.04	-0.45	-0.18	-0.06	-0.71
YJR120W		1	-0.34	0.07	-0.23	-0.42	-0.62	-0.12	-0.58
YDL164C		1	-0.4	0.06	-0.03	-0.49	-0.62	-0.04	
YPL068C		1	-0.6	-0.1	-0.18	-0.84	-1.09	0.08	-0.89
YML037C		1	-0.23	-0.1	-0.07	-0.45	-0.43	0.04	-0.45
YBR104W		1	-0.27	-0.23	0.01	-0.67	-0.79	-0.04	-0.62
YPL236C		1	-0.12	-0.1	0.01	-0.25	-0.32	-0.03	-0.25
YOR188W		1	-0.01	-0.06	0.3	-0.36	-0.64	-0.06	-0.6
YGR039W		1	-0.1	-0.07	0.12	-0.23	-0.42	-0.01	-0.36
YFR002W		1	-0.06		0.14	-0.25	-0.62	-0.06	-0.4
YJL119C		1	-0.14	-0.17	0.19	-0.3	-0.67	-0.04	-0.4
YER149C		1	-0.36	-0.25	0.43	-0.36	-0.54	0.25	-0.64
YMR209C		1	-0.36	-0.09	0.25	-0.2	-0.4	0.19	-0.43
YHR040W		1	-0.47	-0.14	0.14	-0.36	-0.69	0.25	-0.67
YBR261C		1	-0.34	-0.12	0.15	-0.34	-0.49	0.11	-0.58
YER107C		1	-0.36	-0.17	0.2		-0.6	0.11	-0.81
