UP-DN	Condition	Tag	PPI.long	PPI.short	Gene.1	Gene.2	ORF.1	ORF.2	AUC	guide.RBD2.1	guide.RBD2.2	guide.RBD2.3	guide.RBD2.ATC.1	guide.RBD2.ATC.2	guide.RBD2.ATC.3	FC.avg	FC.rep1	FC.rep2	p.val	q.val
uptag	CRISPRi [RBD2]	TM_2583	FTH1_F1::VPH1_F3	FTH1:VPH1	FTH1	VPH1	YBR207W	YOR270C	23.014	12.17302122	12.10849179	11.9355948	12.10641027	11.98146025	12.07605843	-0.017726284	0.034040999	-0.090909014	0.821009454	0.986390772
uptag	CRISPRi [RBD2]	TM_2167	FPS1_F1::FPS1_F3	FPS1:FPS1	FPS1	FPS1	YLL043W	YLL043W	28.464	12.55159612	12.4825811	12.49246244	12.53579377	12.45623461	12.50407411	-0.010179054	0.026913885	-0.052645274	0.818422382	0.986390772
uptag	CRISPRi [RBD2]	TM_1599	EPT1_F1::RBD2_F3	EPT1:RBD2	EPT1	RBD2	YHR123W	YPL246C	50.401	11.63317689	11.78977815	11.49652094	11.63317689	11.1572206	11.5966712	-0.177469097	-0.006648439	-0.482604725	2.83E-01	0.986390772
uptag	CRISPRi [RBD2]	TM_1700	GAR1_F1::NOC2_F3	GAR1:NOC2	GAR1	NOC2	YHR089C	YOR206W	46.831	11.52571655	11.48287517	11.67111347	11.44617006	11.63000921	11.52804706	-0.02515962	-0.113731672	0.070107478	0.743005657	0.986390772
uptag	CRISPRi [RBD2]	TM_2485	SAM35_F1::ALO1_F3	SAM35:ALO1	SAM35	ALO1	YHR083W	YML086C	28.824	11.74139676	12.10641027	11.96811476	11.85113738	12.09582555	12.00399803	0.045013057	-0.087503215	0.157184953	0.702731072	0.986390772
uptag	CRISPRi [RBD2]	TM_2308	GIS2_F1::DBP1_F3	GIS2:DBP1	GIS2	DBP1	YNL255C	YPL119C	27.207	12.84455539	12.76103174	12.76473339	12.84584284	12.85720347	12.80242212	0.045049303	0.055735999	0.06709663	0.332145756	0.986390772
uptag	CRISPRi [RBD2]	TM_2320	PMC1_F1::PMC1_F3	PMC1:PMC1	PMC1	PMC1	YGL006W	YGL006W	56.784	12.53038195	12.44200177	12.49140218	12.42060942	12.50723304	12.48835902	-0.015861477	-0.067319216	0.019304406	0.737767331	0.986390772
uptag	CRISPRi [RBD2]	TM_2634	PUF4_F1::PUF4_F3	PUF4:PUF4	PUF4	PUF4	YGL014W	YGL014W	35.687	11.48094163	10.8448888	11.64184102	11.5952808	11.47577564	11.03763846	0.047007816	0.272723644	0.153218492	0.857484671	0.988132536
uptag	CRISPRi [RBD2]	TM_2562	PST2_F1::PPZ1_F3	PST2:PPZ1	PST2	PPZ1	YDR032C	YML016C	50.014	12.06171995	12.03243609	11.96354637	11.97245333	12.05498862	11.93764355	-0.030872303	-0.046780805	0.035754486	0.563256456	0.986390772
uptag	CRISPRi [RBD2]	TM_2199	LYS21_F1::LYS21_F3	LYS21:LYS21	LYS21	LYS21	YDL131W	YDL131W	49.249	11.90383165	12.04105448	11.9835637	11.99977691	11.9841514	11.99494265	0.016807046	0.023626968	0.008001459	0.733913281	0.986390772
uptag	CRISPRi [RBD2]	TM_1461	SEC6_F1::MSO1_F3	SEC6:MSO1	SEC6	MSO1	YIL068C	YNR049C	22.296	12.11027667	11.97150763	11.90795469	12.01992658	11.9239093	11.83031713	-0.071861994	0.023346914	-0.072670363	0.379177491	0.986390772
uptag	CRISPRi [RBD2]	TM_2114	DNF1_F1::CHS5_F3	DNF1:CHS5	DNF1	CHS5	YER166W	YLR330W	13.342	11.91110482	11.90795469	11.79261408	12.0531566	11.9450536	11.96715419	0.117896936	0.182598737	0.074495739	0.074055085	0.986390772
uptag	CRISPRi [RBD2]	TM_1530	ARF1_F1::BSC6_F3	ARF1:BSC6	ARF1	BSC6	YDL192W	YOL137W	20.415	11.51893177	11.63317689	11.73042768	11.26620091	11.47577564	11.47802803	-0.220843915	-0.361311198	-0.151736467	0.041966765	0.986390772
uptag	CRISPRi [RBD2]	TM_1407	HNM1_F1::YMR010W_F3	HNM1:YMR010W	HNM1	YMR010W	YGL077C	YMR010W	25.285	12.38928178	12.45764593	12.3537809	12.41173165	12.36603529	12.43167171	0.00291001	0.011495445	-0.034200917	0.95043606	0.996056982
uptag	CRISPRi [RBD2]	TM_2437	EMP47_F1::PMC1_F3	EMP47:PMC1	EMP47	PMC1	YFL048C	YGL006W	23.227	12.662342	12.55306926	12.58942488	12.58432053	12.60979435	12.5967333	-0.004662649	-0.017291513	0.008182307	0.917472662	0.988132536
uptag	CRISPRi [RBD2]	TM_0742	SLY1_F1::COG4_F3	SLY1:COG4	SLY1	COG4	YDR189W	YPR105C	24.774	12.18095549	12.18163887	12.11975171	12.15083677	12.05647966	12.05520899	-0.073273551	-0.009945254	-0.104302361	0.162568137	0.986390772
uptag	CRISPRi [RBD2]	TM_1531	GPX2_F1::TPO3_F3	GPX2:TPO3	GPX2	TPO3	YBR244W	YPR156C	37.871	11.67742602	11.30261989	11.34196352	11.75984658	11.44617006	11.55041012	0.144805777	0.319176774	0.005500249	0.310500909	0.986390772
uptag	CRISPRi [RBD2]	TM_2336	MUP1_F1::MSC3_F3	MUP1:MSC3	MUP1	MSC3	YGR055W	YLR219W	17.577	12.59039212	12.5808317	12.64608613	12.57290545	12.69347244	12.61359764	0.020888527	-0.032864531	0.087702453	0.676579465	0.986390772
uptag	CRISPRi [RBD2]	TM_0688	SEC4_F1::MRS6_F3	SEC4:MRS6	SEC4	MRS6	YFL005W	YOR370C	23.758	12.40456505	12.27759737	12.31239139	12.27913657	12.30589074	12.28037448	-0.043050674	-0.052381368	-0.025627193	0.390826625	0.986390772
uptag	CRISPRi [RBD2]	TM_2857	YKE2_F1::GIM3_F3	YKE2:GIM3	YKE2	GIM3	YLR200W	YNL153C	20.065	12.34007262	12.35083792	12.39910877	12.20386796	12.35147301	12.31314758	-0.073843589	-0.159471806	-0.011866766	0.206948191	0.986390772
uptag	CRISPRi [RBD2]	TM_1845	SNA3_F1::PDR12_F3	SNA3:PDR12	SNA3	PDR12	YJL151C	YPL058C	38.816	11.98593679	12.0017014	11.82493223	12.16029164	12.00480567	12.01884927	0.123792055	0.222768171	0.067282197	0.134635061	0.986390772
uptag	CRISPRi [RBD2]	TM_2046	GET3_F1::GET1_F3	GET3:GET1	GET3	GET1	YDL100C	YGL020C	23.131	11.79432109	11.63252573	11.69675024	11.53663577	11.64184102	11.58618302	-0.119645751	-0.171229918	-0.066024665	0.084302854	0.986390772
uptag	CRISPRi [RBD2]	TM_2068	AKR1_F1::YMR010W_F3	AKR1:YMR010W	AKR1	YMR010W	YDR264C	YMR010W	38.377	11.97843638	12.05647966	11.92499802	12.00480567	12.10954775	11.99286754	0.049102295	0.018167643	0.122909721	0.411603127	0.986390772
uptag	CRISPRi [RBD2]	TM_2542	ERV25_F1::YDC1_F3	ERV25:YDC1	ERV25	YDC1	YML012W	YPL087W	44.781	12.07947367	12.05099363	11.90955562	12.33073018	12.10590851	12.11332978	0.169981852	0.317389209	0.092567536	0.087757181	0.986390772
uptag	CRISPRi [RBD2]	TM_2209	PRP43_F1::NOP10_F3	PRP43:NOP10	PRP43	NOP10	YGL120C	YHR072W-A	23.331	12.38308324	12.3705966	12.07070238	12.22954987	12.24960731	12.14776671	-0.065819442	-0.045244201	-0.025186766	0.516521719	0.986390772
uptag	CRISPRi [RBD2]	TM_2366	ERP1_F1::MSC7_F3	ERP1:MSC7	ERP1	MSC7	YAR002C-A	YHR039C	66.535	12.8034181	12.81291264	12.78554783	12.72587746	12.8792067	12.64972772	-0.049022232	-0.074748732	0.07858051	0.485550995	0.986390772
uptag	CRISPRi [RBD2]	TM_2770	EBP2_F1::NOC2_F3	EBP2:NOC2	EBP2	NOC2	YKL172W	YOR206W	36.418	11.52380696	11.65554563	11.61501651	11.45339926	11.68544964	11.83518195	0.05988725	-0.144723775	0.087326607	0.586165263	0.986390772
uptag	CRISPRi [RBD2]	TM_1685	MSC3_F1::MSC3_F3	MSC3:MSC3	MSC3	MSC3	YLR219W	YLR219W	26.038	12.73261263	12.7297765	12.63787767	12.77774161	12.70435759	12.71075622	0.03086287	0.077652675	0.004268651	0.532224565	0.986390772
uptag	CRISPRi [RBD2]	TM_1888	LSG1_F1::TIF6_F3	LSG1:TIF6	LSG1	TIF6	YGL099W	YPR016C	22.788	11.94628492	11.67111347	11.82356627	11.81587692	11.79261408	11.5923013	-0.080057456	0.002222031	-0.021040808	0.433835495	0.986390772
uptag	CRISPRi [RBD2]	TM_1483	DHH1_F1::DED1_F3	DHH1:DED1	DHH1	DED1	YDL160C	YOR204W	29.628	11.97564499	11.96136528	10.88447582	11.28813551	11.66007019	11.74645834	-0.042274018	-0.319026523	0.052908164	0.901276025	0.988132536
uptag	CRISPRi [RBD2]	TM_2365	FTH1_F1::MRL1_F3	FTH1:MRL1	FTH1	MRL1	YBR207W	YPR079W	19.59	12.52455804	12.46247671	12.61474051	12.40500403	12.44747072	12.50336199	-0.081979509	-0.128921056	-0.08645437	0.189314886	0.986390772
uptag	CRISPRi [RBD2]	TM_1692	YBL029C-A_F1::SFK1_F3	YBL029C-A:SFK1	YBL029C-A	SFK1	YBL029C-A	YKL051W	33.428	11.66756989	11.5923013	11.38273209	11.63855659	11.70163858	11.62824806	0.108613316	0.09102216	0.15410415	0.230229562	0.986390772
uptag	CRISPRi [RBD2]	TM_2416	UTP5_F1::RRT14_F3	UTP5:RRT14	UTP5	RRT14	YDR398W	YIL127C	23.112	12.23194115	12.59039212	12.53950619	12.43712784	12.3925947	12.62454417	0.030809085	-0.016818643	-0.061351787	0.799464951	0.986390772
